Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2020-03-20
0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-21
0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,2020-03-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-30
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2020-03-31
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2020-04-01
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,2020-04-02
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,2020-04-03
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,2020-04-04
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,0,0,2020-04-05
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2,0,1,0,0,0,0,0,0,0,2020-04-06
0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,32,0,0,2,0,1,0,0,1,0,0,0,0,2020-04-07
0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,32,0,0,2,0,1,0,0,1,0,0,0,0,2020-04-08
0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,39,0,0,2,0,1,0,0,1,0,0,0,0,2020-04-09
0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,46,0,0,2,0,1,0,0,1,0,0,0,0,2020-04-10
0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,50,0,0,2,0,1,4,0,1,0,0,0,0,2020-04-11
0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,55,0,0,2,0,11,4,0,1,0,0,0,0,2020-04-12
0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,61,0,0,2,0,11,4,0,1,0,0,0,0,2020-04-13
0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,69,0,0,2,0,11,4,0,1,0,0,0,0,2020-04-14
0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0,0,0,0,0,0,0,0,85,0,0,2,0,11,4,0,1,0,0,0,0,2020-04-15
0,0,3,0,0,0,0,0,0,0,0,5,1,2,23,0,0,0,0,0,0,0,0,0,90,0,0,5,0,17,5,0,1,0,0,0,0,2020-04-16
0,0,3,0,0,0,0,0,0,0,0,6,2,2,23,0,0,0,4,0,0,0,0,0,90,0,0,5,0,17,5,0,2,0,0,0,0,2020-04-17
0,0,3,0,1,0,0,0,0,0,0,6,2,2,23,0,0,0,4,0,0,0,0,2,93,0,0,5,0,18,5,0,2,0,0,0,0,2020-04-18
0,0,3,0,1,0,0,0,0,0,0,6,2,2,23,0,0,0,4,0,0,0,0,2,97,0,0,5,0,18,5,0,2,0,0,0,0,2020-04-19
0,0,3,0,5,0,0,0,0,0,0,7,2,2,35,0,0,0,4,0,0,0,0,2,97,0,0,5,1,18,5,0,2,0,0,0,0,2020-04-20
0,0,3,0,5,0,0,0,0,0,0,7,2,2,35,0,0,0,4,0,0,0,0,2,106,0,0,5,1,18,5,0,2,0,0,0,0,2020-04-21
0,0,3,0,5,0,0,0,0,0,0,7,2,2,35,0,0,0,4,0,0,0,0,2,106,0,0,5,1,18,5,0,2,0,0,0,0,2020-04-22
0,0,3,0,5,0,0,0,0,0,0,7,2,2,35,0,0,0,4,0,0,0,0,2,106,0,0,5,1,18,5,0,2,0,0,0,0,2020-04-23
0,0,3,0,5,0,0,0,0,0,0,7,2,2,35,0,0,0,4,0,0,0,0,2,116,0,0,5,2,18,5,0,2,0,0,0,0,2020-04-24
0,0,6,1,5,0,0,0,0,0,0,7,2,2,35,0,0,0,4,0,4,0,0,2,122,0,0,5,2,18,5,0,2,0,0,0,0,2020-04-25
0,0,9,1,6,0,0,0,0,0,0,8,2,2,35,0,0,0,6,0,4,0,0,2,128,0,0,5,2,18,9,0,2,0,0,0,0,2020-04-26
0,0,9,1,6,0,0,0,0,0,0,8,2,2,36,0,0,0,6,0,0,0,0,2,143,0,0,5,2,18,9,0,2,0,0,0,0,2020-04-27
0,0,9,1,6,0,0,0,0,2,0,8,2,2,36,0,0,0,6,0,0,0,0,2,143,0,0,6,3,18,9,0,2,0,0,0,0,2020-04-28
0,0,9,1,6,0,0,0,0,4,0,9,2,2,36,0,0,0,6,0,0,0,0,2,192,0,0,6,3,18,9,0,2,0,0,0,0,2020-04-29
0,0,10,1,6,0,0,0,0,4,0,10,2,2,36,0,0,0,6,0,0,0,0,2,199,0,0,8,3,18,9,0,2,1,0,0,0,2020-04-30
0,0,10,1,6,0,0,0,0,4,0,10,2,2,36,0,0,0,6,0,6,0,0,2,225,0,0,8,3,18,9,0,2,1,0,0,0,2020-05-01
